time,temperature_K
1.434869739478957911e+02,2.879999455092981293e+02
1.438877755511022087e+02,2.879999453570895867e+02
1.442885771543086264e+02,2.879999452048811008e+02
1.446893787575150441e+02,2.879999450526725582e+02
1.450901803607214333e+02,2.879999449004640724e+02
1.454909819639278510e+02,2.879999447482555297e+02
1.458917835671342687e+02,2.879999445960470439e+02
1.462925851703406863e+02,2.879999444438385012e+02
1.466933867735471040e+02,2.879999442916300154e+02
1.470941883767535217e+02,2.879999441394215296e+02
1.474949899799599109e+02,2.879999439872129869e+02
1.478957915831663286e+02,2.879999438350045011e+02
1.482965931863727462e+02,2.879999436827959585e+02
1.486973947895791639e+02,2.879999435305874727e+02
1.490981963927855816e+02,2.879999433783789868e+02
1.494989979959919992e+02,2.879999432261704442e+02
1.498997995991983885e+02,2.879999430739619584e+02
1.503006012024048061e+02,2.879999429217534725e+02
1.507014028056112238e+02,2.879999427695449867e+02
1.511022044088176415e+02,2.879999426173364441e+02
1.515030060120240591e+02,2.879999424651279583e+02
1.519038076152304768e+02,2.879999423129194724e+02
1.523046092184368661e+02,2.879999421607109866e+02
1.527054108216432837e+02,2.879999420085024440e+02
1.531062124248497014e+02,2.879999418562939582e+02
1.535070140280561191e+02,2.879999417040854723e+02
1.539078156312625367e+02,2.879999415518769865e+02
1.543086172344689544e+02,2.879999413996685007e+02
1.547094188376753436e+02,2.879999412474599580e+02
1.551102204408817613e+02,2.879999410952514722e+02
1.555110220440881790e+02,2.879999409430429864e+02
1.559118236472945966e+02,2.879999407908345006e+02
1.563126252505010143e+02,2.879999406386260148e+02
1.567134268537074320e+02,2.879999404864175290e+02
1.571142284569138212e+02,2.879999403342090432e+02
1.575150300601202389e+02,2.879999401820005573e+02
1.579158316633266566e+02,2.879999400297920715e+02
1.583166332665330742e+02,2.879999398775835857e+02
1.587174348697394919e+02,2.879999397253750999e+02
1.591182364729459096e+02,2.879999395731666141e+02
1.595190380761522988e+02,2.879999394209581283e+02
1.599198396793587165e+02,2.879999392687496425e+02
1.603206412825651341e+02,2.879999391165411566e+02
1.607214428857715518e+02,2.879999389643326708e+02
1.611222444889779695e+02,2.879999388121241850e+02
1.615230460921843871e+02,2.879999386599156992e+02
1.619238476953907764e+02,2.879999385077072134e+02
1.623246492985971940e+02,2.879999383554987844e+02
1.627254509018036117e+02,2.879999382032902986e+02
1.631262525050100294e+02,2.879999380510818128e+02
1.635270541082164470e+02,2.879999378988733270e+02
1.639278557114228647e+02,2.879999377466648411e+02
1.643286573146292540e+02,2.879999375944563553e+02
1.647294589178356716e+02,2.879999374422479264e+02
1.651302605210420893e+02,2.879999372900394405e+02
1.655310621242485070e+02,2.879999371378309547e+02
1.659318637274549246e+02,2.879999369856224689e+02
1.663326653306613139e+02,2.879999368334140399e+02
1.667334669338677315e+02,2.879999366812055541e+02
1.671342685370741492e+02,2.879999365289970683e+02
1.675350701402805669e+02,2.879999363767886393e+02
1.679358717434869845e+02,2.879999362245801535e+02
1.683366733466934022e+02,2.879999360723716677e+02
1.687374749498997915e+02,2.879999359201632387e+02
1.691382765531062091e+02,2.879999357679547529e+02
1.695390781563126268e+02,2.879999356157463239e+02
1.699398797595190445e+02,2.879999354635378381e+02
1.703406813627254621e+02,2.879999353113293523e+02
1.707414829659318798e+02,2.879999351591209233e+02
1.711422845691382690e+02,2.879999350069124375e+02
1.715430861723446867e+02,2.879999348547040086e+02
1.719438877755511044e+02,2.879999347024955227e+02
1.723446893787575220e+02,2.879999345502870938e+02
1.727454909819639397e+02,2.879999343980786080e+02
1.731462925851703574e+02,2.879999342458701790e+02
1.735470941883767466e+02,2.879999340936616932e+02
1.739478957915831643e+02,2.879999339414532642e+02
1.743486973947895819e+02,2.879999337892447784e+02
1.747494989979959996e+02,2.879999336370363494e+02
1.751503006012024173e+02,2.879999334848279204e+02
1.755511022044088350e+02,2.879999333326194346e+02
1.759519038076152242e+02,2.879999331804110057e+02
1.763527054108216419e+02,2.879999330282025767e+02
1.767535070140280595e+02,2.879999328759940909e+02
1.771543086172344772e+02,2.879999327237856619e+02
1.775551102204408949e+02,2.879999325715772329e+02
1.779559118236473125e+02,2.879999324193687471e+02
1.783567134268537018e+02,2.879999322671603181e+02
1.787575150300601194e+02,2.879999321149518892e+02
1.791583166332665371e+02,2.879999319627434033e+02
1.795591182364729548e+02,2.879999318105349744e+02
1.799599198396793724e+02,2.879999316583265454e+02
1.803607214428857901e+02,2.879999315061181164e+02
1.807615230460921794e+02,2.879999313539096875e+02
1.811623246492985970e+02,2.879999312017012016e+02
1.815631262525050147e+02,2.879999310494927727e+02
1.819639278557114324e+02,2.879999308972843437e+02
1.823647294589178500e+02,2.879999307450759147e+02
1.827655310621242677e+02,2.879999305928674858e+02
1.831663326653306569e+02,2.879999304406590568e+02
1.835671342685370746e+02,2.879999302884506278e+02
1.839679358717434923e+02,2.879999301362421988e+02
1.843687374749499099e+02,2.879999299840337699e+02
1.847695390781563276e+02,2.879999298318252841e+02
1.851703406813627169e+02,2.879999296796168551e+02
1.855711422845691345e+02,2.879999295274084261e+02
1.859719438877755522e+02,2.879999293751999971e+02
1.863727454909819699e+02,2.879999292229915682e+02
1.867735470941883875e+02,2.879999290707831392e+02
1.871743486973948052e+02,2.879999289185747102e+02
1.875751503006011944e+02,2.879999287663663381e+02
1.879759519038076121e+02,2.879999286141579091e+02
1.883767535070140298e+02,2.879999284619494802e+02
1.887775551102204474e+02,2.879999283097410512e+02
1.891783567134268651e+02,2.879999281575326222e+02
1.895791583166332828e+02,2.879999280053241932e+02
1.899799599198396720e+02,2.879999278531157643e+02
1.903807615230460897e+02,2.879999277009073353e+02
1.907815631262525073e+02,2.879999275486989632e+02
1.911823647294589250e+02,2.879999273964905342e+02
1.915831663326653427e+02,2.879999272442821052e+02
1.919839679358717603e+02,2.879999270920736762e+02
1.923847695390781496e+02,2.879999269398652473e+02
1.927855711422845673e+02,2.879999267876568751e+02
1.931863727454909849e+02,2.879999266354484462e+02
1.935871743486974026e+02,2.879999264832400172e+02
1.939879759519038203e+02,2.879999263310315882e+02
1.943887775551102379e+02,2.879999261788232161e+02
1.947895791583166272e+02,2.879999260266147871e+02
1.951903807615230448e+02,2.879999258744063582e+02
1.955911823647294625e+02,2.879999257221979860e+02
1.959919839679358802e+02,2.879999255699895571e+02
1.963927855711422978e+02,2.879999254177811281e+02
1.967935871743487155e+02,2.879999252655727560e+02
1.971943887775551048e+02,2.879999251133643270e+02
1.975951903807615224e+02,2.879999249611559549e+02
1.979959919839679401e+02,2.879999248089475259e+02
1.983967935871743578e+02,2.879999246567390969e+02
1.987975951903807754e+02,2.879999245045307248e+02
1.991983967935871931e+02,2.879999243523222958e+02
1.995991983967935823e+02,2.879999242001139237e+02
2.000000000000000000e+02,2.879999240479054947e+02
